time,A2538,time,B2250,C1890,,,
0,70,0,62,52,10,100,0
0.499982,70.0083,0.499982,62.0073,52.0061,10.0012,100.012,0.012
0.999946,70.0165,0.999946,62.0146,52.0123,10.0023,100.023,0.023
1.49989,70.0248,1.49989,62.0219,52.0184,10.0035,100.035,0.035
1.99996,70.0332,1.99996,62.0293,52.0246,10.0047,100.047,0.047
2.49987,70.0416,2.49987,62.0368,52.0308,10.006,100.06,0.06
2.99991,70.05,2.99991,62.0443,52.0371,10.0072,100.072,0.072
3.49993,70.0584,3.49993,62.0518,52.0434,10.0084,100.084,0.084
3.99993,70.0668,3.99993,62.0592,52.0497,10.0095,100.095,0.095
4.49991,70.0752,4.49991,62.0666,52.0559,10.0107,100.107,0.107
4.99988,70.0835,4.99988,62.074,52.0621,10.0119,100.119,0.119
5.49997,70.0918,5.49997,62.0813,52.0682,10.0131,100.131,0.131
5.9999,70.1,5.9999,62.0886,52.0743,10.0143,100.143,0.143
6.49995,70.1083,6.49995,62.0959,52.0804,10.0155,100.155,0.155
6.99999,70.1166,6.99999,62.1032,52.0866,10.0166,100.166,0.166
7.49987,70.1249,7.49987,62.1106,52.0928,10.0178,100.178,0.178
7.99987,70.1332,7.99987,62.1179,52.0989,10.019,100.19,0.19
8.49999,70.1415,8.49999,62.1253,52.1051,10.0202,100.202,0.202
8.99996,70.1499,8.99996,62.1327,52.1113,10.0214,100.214,0.214
9.49991,70.1582,9.49991,62.1401,52.1175,10.0226,100.226,0.226
9.99998,70.1667,9.99998,62.1476,52.1238,10.0238,100.238,0.238
10.4999,70.1751,10.4999,62.1551,52.1301,10.025,100.25,0.25
10.9999,70.1835,10.9999,62.1625,52.1363,10.0262,100.262,0.262
11.5,70.1918,11.5,62.1699,52.1426,10.0273,100.273,0.273
12,70.2002,12,62.1773,52.1488,10.0285,100.285,0.285
12.4999,70.2085,12.4999,62.1847,52.1549,10.0298,100.298,0.298
12.9999,70.2168,12.9999,62.192,52.1611,10.0309,100.309,0.309
13.5,70.2251,13.5,62.1994,52.1672,10.0322,100.322,0.322
13.9999,70.2334,13.9999,62.2067,52.1733,10.0334,100.334,0.334
14.5,70.2417,14.5,62.214,52.1795,10.0345,100.345,0.345
14.9999,70.2499,14.9999,62.2214,52.1856,10.0358,100.358,0.358
15.4999,70.2582,15.4999,62.2287,52.1918,10.0369,100.369,0.369
