time,A1,,Extensometer Strain,global stress,,Time,Extension,Load,Extension,,
0,0,0,0,0,,(sec),(mm),(kN),(mm),Strain,Stress
0.999964,0.212301,0.499982,0.012,0.00849204,,0,17.37342,0.01737342,0,0,0.000694937
1.999892,0.424694,0.999946,0.023,0.01698776,,0.1,22.13207,0.02213207,0.001,0.01,0.000885283
2.99978,0.637265,1.49989,0.035,0.0254906,,0.2,37.37535,0.03737535,0.00294,0.0294,0.001495014
3.99992,0.849082,1.99996,0.047,0.03396328,,0.3,58.36748,0.05836748,0.00506,0.0506,0.002334699
4.99974,1.06213,2.49987,0.06,0.0424852,,0.4,67.78359,0.06778359,0.00625,0.0625,0.002711344
5.99982,1.28039,2.99991,0.072,0.0512156,,0.5,83.40665,0.08340665,0.00825,0.0825,0.003336266
6.99986,1.50369,3.49993,0.084,0.0601476,,0.6,101.71675,0.10171675,0.01,0.1,0.00406867
7.99986,1.72543,3.99993,0.095,0.0690172,,0.7,113.39824,0.11339824,0.01156,0.1156,0.00453593
8.99982,1.93696,4.49991,0.107,0.0774784,,0.8,129.86524,0.12986524,0.01337,0.1337,0.00519461
9.99976,2.14309,4.99988,0.119,0.0857236,,0.9,142.63176,0.14263176,0.01512,0.1512,0.00570527
10.99994,2.35266,5.49997,0.131,0.0941064,,1,160.68711,0.16068711,0.01694,0.1694,0.006427484
11.9998,2.56769,5.9999,0.143,0.1027076,,1.1,168.19581,0.16819581,0.01806,0.1806,0.006727832
12.9999,2.78248,6.49995,0.155,0.1112992,,1.2,182.27419,0.18227419,0.01981,0.1981,0.007290968
13.99998,2.99254,6.99999,0.166,0.1197016,,1.3,201.56465,0.20156465,0.02181,0.2181,0.008062586
14.99974,3.20185,7.49987,0.178,0.128074,,1.4,211.65318,0.21165318,0.02319,0.2319,0.008466127
15.99974,3.41396,7.99987,0.19,0.1365584,,1.5,227.70443,0.22770443,0.02506,0.2506,0.009108177
16.99998,3.62827,8.49999,0.202,0.1451308,,1.6,240.27149,0.24027149,0.02675,0.2675,0.00961086
17.99992,3.84222,8.99996,0.214,0.1536888,,1.7,259.31466,0.25931466,0.02875,0.2875,0.010372586
18.99982,4.05547,9.49991,0.226,0.1622188,,1.8,266.97384,0.26697384,0.02975,0.2975,0.010678954
19.99996,4.26989,9.99998,0.238,0.1707956,,1.9,280.59243,0.28059243,0.0315,0.315,0.011223697
20.9998,4.48702,10.4999,0.25,0.1794808,,2,298.56346,0.29856346,0.03356,0.3356,0.011942538
21.9998,4.70614,10.9999,0.262,0.1882456,,2.1,308.94743,0.30894743,0.03487,0.3487,0.012357897
23,4.92392,11.5,0.273,0.1969568,,2.2,324.06226,0.32406226,0.03681,0.3681,0.01296249
24,5.13754,12,0.285,0.2055016,,2.3,336.5553,0.3365553,0.03825,0.3825,0.013462212
24.9998,5.34731,12.4999,0.298,0.2138924,,2.4,355.73279,0.35573279,0.04056,0.4056,0.014229312
25.9998,5.55557,12.9999,0.309,0.2222228,,2.5,363.57413,0.36357413,0.04144,0.4144,0.014542965
27,5.76434,13.5,0.322,0.2305736,,2.6,375.68731,0.37568731,0.04306,0.4306,0.015027492
27.9998,5.97477,13.9999,0.334,0.2389908,,2.7,395.2153,0.3952153,0.04531,0.4531,0.015808612
29,6.1866,14.5,0.345,0.247464,,2.8,405.76481,0.40576481,0.04656,0.4656,0.016230592
29.9998,6.39905,14.9999,0.358,0.255962,,2.9,420.78663,0.42078663,0.0485,0.485,0.016831465
