
time,A2047,time,B2052,time,C2022,
0,0,0,5,0,5,
0.499982,8.78544e-005,0.499982,4.99991,0.499982,4.99991,
0.999946,0.000176839,0.999946,4.99982,0.999946,4.99982,
1.49989,0.000265568,1.49989,4.99973,1.49989,4.99973,
1.99996,0.000356819,1.99996,4.99964,1.99996,4.99964,
2.49987,0.000448011,2.49987,4.99955,2.49987,4.99955,
2.99991,0.0005368,2.99991,4.99946,2.99991,4.99946,
3.49993,0.000623534,3.49993,4.99938,3.49993,4.99938,
3.99993,0.000712431,3.99993,4.99929,3.99993,4.99929,
4.49991,0.000803342,4.49991,4.9992,4.49991,4.9992,
4.99988,0.000894092,4.99988,4.99911,4.99988,4.99911,
5.49997,0.000983416,5.49997,4.99902,5.49997,4.99902,
5.9999,0.00107114,5.9999,4.99893,5.9999,4.99893,
6.49995,0.0011591,6.49995,4.99884,6.49995,4.99884,
6.99999,0.00124738,6.99999,4.99875,6.99999,4.99875,
7.49987,0.00133586,7.49987,4.99866,7.49987,4.99866,
7.99987,0.00142521,7.99987,4.99857,7.99987,4.99857,
8.49999,0.0015152,8.49999,4.99848,8.49999,4.99848,
8.99996,0.00160492,8.99996,4.99839,8.99996,4.99839,
9.49991,0.00169428,9.49991,4.99831,9.49991,4.99831,
9.99998,0.00178372,9.99998,4.99822,9.99998,4.99822,
10.4999,0.00187298,10.4999,4.99813,10.4999,4.99813,
10.9999,0.00196177,10.9999,4.99804,10.9999,4.99804,
11.5,0.00205012,11.5,4.99795,11.5,4.99795,
12,0.0021387,12,4.99786,12,4.99786,
12.4999,0.00222785,12.4999,4.99777,12.4999,4.99777,
12.9999,0.00231774,12.9999,4.99768,12.9999,4.99768,
13.5,0.00240767,13.5,4.99759,13.5,4.99759,
13.9999,0.00249671,13.9999,4.9975,13.9999,4.9975,
14.5,0.00258471,14.5,4.99742,14.5,4.99742,
14.9999,0.0026725,14.9999,4.99733,14.9999,4.99733,
15.4999,0.00276017,15.4999,4.99724,15.4999,4.99724,
15.9999,0.00284658,15.9999,4.99715,15.9999,4.99715,
16.5,0.00293179,16.5,4.99706,16.5,4.99706,
16.9999,0.0030388,16.9999,4.997,16.9999,4.99699,
17.4999,0.00313151,17.4999,4.99692,17.4999,4.9969,
18,0.00317748,18,4.9968,18,4.99679,
18.4999,0.00326666,18.4999,4.99673,18.4999,4.99672,
18.9999,0.00332814,18.9999,4.99665,18.9999,4.99663,
19.4999,0.00332842,19.4999,4.99647,19.4999,4.99648,
19.9999,0.00357373,19.9999,4.9966,19.9999,4.9966,
20.4999,0.00335939,20.4999,4.99619,20.4999,4.99623,
20.9999,0.00375765,20.9999,4.99635,20.9999,4.99648,
21.4999,0.00393229,21.4999,4.99626,21.4999,4.99649,
21.9999,0.0039096,21.9999,4.99591,21.9999,4.99628,
22.5,0.00416339,22.5,4.99583,22.5,4.99634,
23,0.00462161,23,4.9959,23,4.99655,
23.4999,0.00441489,23.4999,4.99525,23.4999,4.99604,
24,0.0050026,24,4.99532,24,4.99636,
24.4999,0.00514201,24.4999,4.99502,24.4999,4.99618,
25,0.00551808,25,4.99491,25,4.99622,
25.4999,0.00554911,25.4999,4.99448,25.4999,4.99589,
26,0.00559503,26,4.99395,26,4.99557,
26.4999,0.00615687,26.4999,4.99401,26.4999,4.99575,
27,0.00659057,27,4.99389,27,4.99577,
27.4999,0.00663376,27.4999,4.99341,27.4999,4.99547,
27.9999,0.00715652,27.9999,4.99333,27.9999,4.99551,
28.5,0.00731831,28.5,4.9929,28.5,4.99523,
28.9999,0.00755591,28.9999,4.99256,28.9999,4.99504,
29.5,0.00765345,29.5,4.99204,29.5,4.99466,
29.9999,0.00786031,29.9999,4.99167,29.9999,4.99439,
30.4999,0.00849366,30.4999,4.99163,30.4999,4.99448,
30.9999,0.00875984,30.9999,4.99128,30.9999,4.99429,
31.5,0.00933638,31.5,4.99116,31.5,4.99429,
31.9999,0.00936862,31.9999,4.99051,31.9999,4.99375,
32.4999,0.00968677,32.4999,4.99022,32.4999,4.99353,
32.9999,0.00993131,32.9999,4.98978,32.9999,4.99324,
33.5,0.0104599,33.5,4.98959,33.5,4.99318,
34,0.0107864,34,4.98928,34,4.99299,
34.4999,0.0113167,34.4999,4.9891,34.4999,4.99291,
35,0.0116741,35,4.98881,35,4.99273,
35.4999,0.0115928,35.4999,4.98796,35.4999,4.99198,
36,0.0127113,36,4.98834,36,4.99245,
36.4999,0.0122219,36.4999,4.98715,36.4999,4.99139,
36.9999,0.0130851,36.9999,4.98725,36.9999,4.99152,
37.5,0.0133116,37.5,4.98674,37.5,4.9912,
38,0.0136491,38,4.98634,38,4.99087,
38.4999,0.014064,38.4999,4.986,38.4999,4.99063,
38.9999,0.0145963,38.9999,4.98573,38.9999,4.99045,
39.4999,0.0149148,39.4999,4.98528,39.4999,4.9901,
39.9999,0.0152857,39.9999,4.98479,39.9999,4.98977,
40.5,0.0157156,40.5,4.98447,40.5,4.9895,
41,0.0158788,41,4.98382,41,4.98896,
41.4999,0.0163654,41.4999,4.98351,41.4999,4.98873,
42,0.017058,42,4.98343,42,4.98874,
42.5,0.01717,42.5,4.98267,42.5,4.98808,
42.9999,0.0177446,42.9999,4.9824,42.9999,4.98791,
43.4999,0.0181634,43.4999,4.98199,43.4999,4.98762,
43.9999,0.0184236,43.9999,4.98151,43.9999,4.98715,
44.4999,0.0189129,44.4999,4.98114,44.4999,4.98687,
44.9999,0.0193051,44.9999,4.98066,44.9999,4.98649,
45.4999,0.0198192,45.4999,4.98039,45.4999,4.98625,
45.9999,0.020444,45.9999,4.98003,45.9999,4.98603,
46.5,0.0206904,46.5,4.97944,46.5,4.98548,
46.9999,0.021285,46.9999,4.97912,46.9999,4.98533,
47.4999,0.0213763,47.4999,4.9784,47.4999,4.9847,
48,0.0215932,48,4.97778,48,4.98413,
48.4999,0.0222507,48.4999,4.97751,48.4999,4.98387,
49,0.0229835,49,4.97742,49,4.98389,
49.5,0.0231222,49.5,4.97662,49.5,4.98317,
50,0.0237431,50,4.97641,50,4.98306,
50.4999,0.024027,50.4999,4.97574,50.4999,4.98242,
50.9999,0.0246403,50.9999,4.9754,50.9999,4.98219,
51.5,0.0251906,51.5,4.97504,51.5,4.9819,
51.9999,0.0256225,51.9999,4.97458,51.9999,4.98148,
52.4999,0.026242,52.4999,4.97424,52.4999,4.98123,
53,0.0261685,53,4.97324,53,4.98032,
53.4999,0.0270059,53.4999,4.97309,53.4999,4.98025,
53.9999,0.0275607,53.9999,4.97276,53.9999,4.97999,
54.5,0.0278425,54.5,4.97207,54.5,4.97936,
55,0.0282466,55,4.97154,55,4.97886,
