
time,A3624,time,B1464,
0,100,0,40,
0.499982,100.012,0.499982,40.0047,
0.999946,100.024,0.999946,40.0094,
1.49989,100.036,1.49989,40.0142,
1.99996,100.048,1.99996,40.0189,
2.49987,100.059,2.49987,40.0237,
2.99991,100.071,2.99991,40.0285,
3.49993,100.083,3.49993,40.0334,
3.99993,100.095,3.99993,40.0383,
4.49991,100.107,4.49991,40.043,
4.99988,100.119,4.99988,40.0477,
5.49997,100.131,5.49997,40.0524,
5.9999,100.143,5.9999,40.0572,
6.49995,100.155,6.49995,40.0619,
6.99999,100.167,6.99999,40.0666,
7.49987,100.178,7.49987,40.0713,
7.99987,100.19,7.99987,40.0761,
8.49999,100.202,8.49999,40.0808,
8.99996,100.214,8.99996,40.0856,
9.49991,100.226,9.49991,40.0904,
9.99998,100.238,9.99998,40.0952,
10.4999,100.25,10.4999,40.1,
10.9999,100.262,10.9999,40.1049,
11.5,100.274,11.5,40.1097,
12,100.286,12,40.1145,
12.4999,100.298,12.4999,40.1192,
12.9999,100.31,12.9999,40.1239,
13.5,100.322,13.5,40.1286,
13.9999,100.333,13.9999,40.1333,
14.5,100.345,14.5,40.138,
14.9999,100.357,14.9999,40.1428,
15.4999,100.369,15.4999,40.1475,
15.9999,100.381,15.9999,40.1523,
16.5,100.393,16.5,40.157,
16.9999,100.405,16.9999,40.1617,
17.4999,100.417,17.4999,40.1663,
18,100.429,18,40.1707,
18.4999,100.442,18.4999,40.1748,
18.9999,100.455,18.9999,40.1787,
19.4999,100.468,19.4999,40.1822,
19.9999,100.482,19.9999,40.1852,
20.4999,100.496,20.4999,40.1879,
20.9999,100.51,20.9999,40.1901,
21.4999,100.525,21.4999,40.1921,
21.9999,100.54,21.9999,40.1938,
22.5,100.555,22.5,40.1953,
23,100.57,23,40.1966,
23.4999,100.586,23.4999,40.1979,
24,100.601,24,40.199,
24.4999,100.617,24.4999,40.2,
25,100.633,25,40.2008,
25.4999,100.648,25.4999,40.2019,
26,100.664,26,40.2027,
26.4999,100.68,26.4999,40.2035,
27,100.696,27,40.2043,
27.4999,100.712,27.4999,40.2051,
27.9999,100.727,27.9999,40.2058,
28.5,100.743,28.5,40.2065,
28.9999,100.759,28.9999,40.2072,
29.5,100.775,29.5,40.2079,
29.9999,100.791,29.9999,40.2085,
30.4999,100.808,30.4999,40.2091,
30.9999,100.824,30.9999,40.2097,
31.5,100.84,31.5,40.2103,
31.9999,100.856,31.9999,40.2108,
32.4999,100.872,32.4999,40.2114,
32.9999,100.888,32.9999,40.2119,
33.5,100.904,33.5,40.2123,
34,100.92,34,40.2129,
34.4999,100.937,34.4999,40.2134,
35,100.953,35,40.2138,
35.4999,100.969,35.4999,40.2143,
36,100.985,36,40.2146,
36.4999,101.001,36.4999,40.2151,
36.9999,101.018,36.9999,40.2156,
37.5,101.034,37.5,40.216,
38,101.05,38,40.2164,
38.4999,101.066,38.4999,40.2168,
38.9999,101.083,38.9999,40.2171,
39.4999,101.099,39.4999,40.2176,
39.9999,101.115,39.9999,40.218,
40.5,101.132,40.5,40.2184,
41,101.148,41,40.2187,
41.4999,101.164,41.4999,40.2191,
42,101.18,42,40.2195,
42.5,101.197,42.5,40.2198,
42.9999,101.213,42.9999,40.2201,
43.4999,101.229,43.4999,40.2205,
