time,A2046,time,B2082,STRAIN,SR
0,56,0,57,0,0
0.499982,56.0066,0.499982,57.0067,0.0001,0.2000072
0.999946,56.0132,0.999946,57.0134,0.0002,0.200014401
1.49989,56.0198,1.49989,57.0202,0.0004,0.400044805
1.99996,56.0265,1.99996,57.027,0.0005,0.199972004
2.49987,56.0332,2.49987,57.0338,0.0006,0.200036006
2.99991,56.04,2.99991,57.0407,0.0007,0.199984001
3.49993,56.0468,3.49993,57.0476,0.0008,0.199992
3.99993,56.0535,3.99993,57.0544,0.0009,0.2
4.49991,56.0602,4.49991,57.0612,0.001,0.200008
4.99988,56.0668,4.99988,57.068,0.0012,0.400024001
5.49997,56.0734,5.49997,57.0747,0.0013,0.199964006
5.9999,56.08,5.9999,57.0815,0.0015,0.400056008
6.49995,56.0866,6.49995,57.0882,0.0016,0.199980002
6.99999,56.0933,6.99999,57.0949,0.0016,0
7.49987,56.0999,7.49987,57.1017,0.0018,0.400096023
7.99987,56.1065,7.99987,57.1084,0.0019,0.2
8.49999,56.1132,8.49999,57.1152,0.002,0.199952012
8.99996,56.1198,8.99996,57.122,0.0022,0.400024001
9.49991,56.1266,9.49991,57.1288,0.0022,-1.42123E-11
9.99998,56.1333,9.99998,57.1357,0.0024,0.399944008
10.4999,56.1401,10.4999,57.1426,0.0025,0.200032005
10.9999,56.1468,10.9999,57.1494,0.0026,0.2
11.5,56.1535,11.5,57.1562,0.0027,0.199960008
12,56.1602,12,57.163,0.0028,0.2
12.4999,56.1668,12.4999,57.1698,0.003,0.400080016
12.9999,56.1735,12.9999,57.1766,0.0031,0.2
13.5,56.1801,13.5,57.1833,0.0032,0.199960008
13.9999,56.1867,13.9999,57.19,0.0033,0.200040008
14.5,56.1933,14.5,57.1968,0.0035,0.399920016
14.9999,56.1999,14.9999,57.2035,0.0036,0.200040008
15.4999,56.2066,15.4999,57.2102,0.0036,0
15.9999,56.2132,15.9999,57.217,0.0038,0.4
16.5,56.2198,16.5,57.2237,0.0039,0.199960008
16.9999,56.2263,16.9999,57.2304,0.0041,0.400080016
17.4999,56.2327,17.4999,57.2369,0.0042,0.2
18,56.2389,18,57.2432,0.0043,0.199960008
18.4999,56.2447,18.4999,57.2491,0.0044,0.200040008
18.9999,56.25,18.9999,57.2545,0.0045,0.2
19.4999,56.2549,19.4999,57.2595,0.0046,0.2
19.9999,56.2591,19.9999,57.2638,0.0047,0.2
20.4999,56.263,20.4999,57.2678,0.0048,0.2
20.9999,56.2661,20.9999,57.2711,0.005,0.4
21.4999,56.269,21.4999,57.2742,0.0052,0.4
21.9999,56.2714,21.9999,57.2769,0.0055,0.6
22.5,56.2735,22.5,57.2792,0.0057,0.399920016
23,56.2755,23,57.2815,0.006,0.6
23.4999,56.2774,23.4999,57.2836,0.0062,0.400080016
24,56.2791,24,57.2857,0.0066,0.799840032
24.4999,56.2806,24.4999,57.2874,0.0068,0.400080016
25,56.2821,25,57.2892,0.0071,0.599880024
25.4999,56.2837,25.4999,57.291,0.0073,0.400080016
26,56.285,26,57.2927,0.0077,0.799840032
26.4999,56.2864,26.4999,57.2944,0.008,0.600120024
27,56.2877,27,57.2961,0.0084,0.799840032
27.4999,56.2891,27.4999,57.2977,0.0086,0.400080016
27.9999,56.2903,27.9999,57.2993,0.009,0.8
28.5,56.2916,28.5,57.3008,0.0092,0.399920016
28.9999,56.2928,28.9999,57.3024,0.0096,0.800160032
29.5,56.2941,29.5,57.3041,0.01,0.799840032
29.9999,56.2953,29.9999,57.3055,0.0102,0.400080016
30.4999,56.2964,30.4999,57.307,0.0106,0.8
30.9999,56.2976,30.9999,57.3085,0.0109,0.6
31.5,56.2987,31.5,57.31,0.0113,0.799840032
31.9999,56.2999,31.9999,57.3115,0.0116,0.600120024
32.4999,56.301,32.4999,57.313,0.012,0.8
32.9999,56.3021,32.9999,57.3145,0.0124,0.8
33.5,56.3032,33.5,57.3159,0.0127,0.599880024
34,56.3042,34,57.3172,0.013,0.6
34.4999,56.3054,34.4999,57.3188,0.0134,0.800160032
35,56.3063,35,57.3201,0.0138,0.799840032
35.4999,56.3075,35.4999,57.3216,0.0141,0.600120024
36,56.3084,36,57.3229,0.0145,0.799840032
36.4999,56.3095,36.4999,57.3243,0.0148,0.600120024
36.9999,56.3105,36.9999,57.3257,0.0152,0.8
37.5,56.3116,37.5,57.3272,0.0156,0.799840032
38,56.3126,38,57.3286,0.016,0.8
38.4999,56.3136,38.4999,57.33,0.0164,0.800160032
38.9999,56.3145,38.9999,57.3313,0.0168,0.8
39.4999,56.3157,39.4999,57.3328,0.0171,0.6
39.9999,56.3168,39.9999,57.3344,0.0176,1
40.5,56.3178,40.5,57.3358,0.018,0.799840032
41,56.3187,41,57.3371,0.0184,0.8
41.4999,56.3198,41.4999,57.3386,0.0188,0.800160032
42,56.321,42,57.3401,0.0191,0.599880024
42.5,56.3219,42.5,57.3415,0.0196,1
42.9999,56.3229,42.9999,57.3429,0.02,0.800160032
43.4999,56.3239,43.4999,57.3443,0.0204,0.8
43.9999,56.3249,43.9999,57.3458,0.0209,1
44.4999,56.326,44.4999,57.3472,0.0212,0.6
44.9999,56.3269,44.9999,57.3486,0.0217,1
45.4999,56.328,45.4999,57.35,0.022,0.6
45.9999,56.3289,45.9999,57.3514,0.0225,1
46.5,56.3299,46.5,57.3528,0.0229,0.799840032
46.9999,56.331,46.9999,57.3543,0.0233,0.800160032
47.4999,56.332,47.4999,57.3558,0.0238,1
48,56.333,48,57.3572,0.0242,0.799840032
48.4999,56.334,48.4999,57.3586,0.0246,0.800160032
49,56.3351,49,57.3601,0.025,0.799840032
49.5,56.3361,49.5,57.3615,0.0254,0.8
50,56.3371,50,57.3629,0.0258,0.8
50.4999,56.3382,50.4999,57.3645,0.0263,1.00020004
50.9999,56.3392,50.9999,57.3659,0.0267,0.8
51.5,56.3401,51.5,57.3673,0.0272,0.99980004
51.9999,56.3412,51.9999,57.3688,0.0276,0.800160032
