
time,A3417,
0,0,
0.499982,0.00844909,
0.999946,0.0169715,
1.49989,0.025507,
1.99996,0.0342502,
2.49987,0.0429984,
2.99991,0.0515307,
3.49993,0.0598853,
3.99993,0.0683995,
4.49991,0.0771262,
4.99988,0.0858442,
5.49997,0.0944066,
5.9999,0.102845,
6.49995,0.111294,
6.99999,0.11977,
7.49987,0.128276,
7.99987,0.136854,
8.49999,0.145481,
8.99996,0.154092,
9.49991,0.162678,
9.99998,0.171251,
10.4999,0.179804,
10.9999,0.188323,
11.5,0.196832,
12,0.205352,
12.4999,0.213922,
12.9999,0.222545,
13.5,0.23118,
13.9999,0.239739,
14.5,0.248217,
14.9999,0.256639,
15.4999,0.265054,
15.9999,0.273458,
16.5,0.281838,
16.9999,0.290158,
17.4999,0.298311,
18,0.306097,
18.4999,0.313338,
18.9999,0.32079,
19.4999,0.328016,
19.9999,0.334879,
20.4999,0.341198,
20.9999,0.346578,
21.4999,0.350884,
21.9999,0.355027,
22.5,0.35772,
23,0.360901,
23.4999,0.363077,
24,0.364569,
24.4999,0.366867,
25,0.367699,
25.4999,0.36892,
26,0.370943,
26.4999,0.371929,
27,0.373142,
27.4999,0.374008,
27.9999,0.375432,
28.5,0.376355,
28.9999,0.377963,
29.5,0.379373,
29.9999,0.379608,
30.4999,0.380117,
30.9999,0.381195,
31.5,0.382529,
31.9999,0.382868,
32.4999,0.383957,
32.9999,0.386294,
33.5,0.385347,
34,0.386723,
34.4999,0.386541,
35,0.387584,
35.4999,0.388354,
36,0.389234,
36.4999,0.390402,
36.9999,0.39045,
37.5,0.391607,
38,0.391542,
38.4999,0.391824,
38.9999,0.393237,
39.4999,0.393698,
39.9999,0.394172,
40.5,0.394602,
41,0.395599,
41.4999,0.395982,
42,0.3959,
42.5,0.397599,
42.9999,0.397877,
43.4999,0.397641,
43.9999,0.399132,
44.4999,0.399603,
44.9999,0.400402,
45.4999,0.399691,
45.9999,0.400288,
46.5,0.401045,
46.9999,0.401805,
47.4999,0.402763,
48,0.403235,
48.4999,0.403611,
49,0.404158,
49.5,0.404791,
50,0.40532,
50.4999,0.405387,
50.9999,0.405936,
51.5,0.406229,
51.9999,0.406059,
52.4999,0.407387,
53,0.407973,
53.4999,0.408878,
53.9999,0.408842,
54.5,0.409462,
55,0.410108,
55.4999,0.410028,
55.9999,0.41053,
56.5,0.41101,
56.9999,0.411002,
57.4999,0.412139,
58,0.411772,
58.4999,0.412301,
59,0.412964,
59.4999,0.413237,
59.9999,0.413433,
60.5,0.414247,
60.9999,0.414575,
61.4999,0.415456,
61.9999,0.415599,
62.5,0.415553,
63,0.41666,
63.5,0.416866,
63.9999,0.416274,
64.4999,0.416187,
64.9999,0.417068,
65.5,0.41799,
66,0.419013,
66.4999,0.419449,
66.9999,0.41888,
67.4999,0.41971,
68,0.420224,
68.5,0.419946,
68.9999,0.421096,
69.4999,0.421518,
69.9999,0.421681,
70.5,0.422104,
71,0.421678,
71.5,0.423387,
71.9999,0.42228,
72.5,0.42354,
72.9999,0.423806,
73.4999,0.423232,
73.9999,0.424813,
74.5,0.425414,
74.9999,0.42586,
75.5,0.425998,
