time,A3624,time,B1464,
0,100,0,40,0
0.499982,100.012,0.499982,40.0047,0.000121667
0.999946,100.024,0.999946,40.0094,0.000243333
1.49989,100.036,1.49989,40.0142,0.000363333
1.99996,100.048,1.99996,40.0189,0.000485
2.49987,100.059,2.49987,40.0237,0.000588333
2.99991,100.071,2.99991,40.0285,0.000708333
3.49993,100.083,3.49993,40.0334,0.000826667
3.99993,100.095,3.99993,40.0383,0.000945
4.49991,100.107,4.49991,40.043,0.001066667
4.99988,100.119,4.99988,40.0477,0.001188333
5.49997,100.131,5.49997,40.0524,0.00131
5.9999,100.143,5.9999,40.0572,0.00143
6.49995,100.155,6.49995,40.0619,0.001551667
6.99999,100.167,6.99999,40.0666,0.001673333
7.49987,100.178,7.49987,40.0713,0.001778333
7.99987,100.19,7.99987,40.0761,0.001898333
8.49999,100.202,8.49999,40.0808,0.00202
8.99996,100.214,8.99996,40.0856,0.00214
9.49991,100.226,9.49991,40.0904,0.00226
9.99998,100.238,9.99998,40.0952,0.00238
10.4999,100.25,10.4999,40.1,0.0025
10.9999,100.262,10.9999,40.1049,0.002618333
11.5,100.274,11.5,40.1097,0.002738333
12,100.286,12,40.1145,0.002858333
12.4999,100.298,12.4999,40.1192,0.00298
12.9999,100.31,12.9999,40.1239,0.003101667
13.5,100.322,13.5,40.1286,0.003223333
13.9999,100.333,13.9999,40.1333,0.003328333
14.5,100.345,14.5,40.138,0.00345
14.9999,100.357,14.9999,40.1428,0.00357
15.4999,100.369,15.4999,40.1475,0.003691667
15.9999,100.381,15.9999,40.1523,0.003811667
16.5,100.393,16.5,40.157,0.003933333
16.9999,100.405,16.9999,40.1617,0.004055
17.4999,100.417,17.4999,40.1663,0.004178333
18,100.429,18,40.1707,0.004305
18.4999,100.442,18.4999,40.1748,0.004453333
18.9999,100.455,18.9999,40.1787,0.004605
19.4999,100.468,19.4999,40.1822,0.004763333
19.9999,100.482,19.9999,40.1852,0.004946667
20.4999,100.496,20.4999,40.1879,0.005135
20.9999,100.51,20.9999,40.1901,0.005331667
21.4999,100.525,21.4999,40.1921,0.005548333
21.9999,100.54,21.9999,40.1938,0.00577
22.5,100.555,22.5,40.1953,0.005995
23,100.57,23,40.1966,0.006223333
23.4999,100.586,23.4999,40.1979,0.006468333
24,100.601,24,40.199,0.0067
24.4999,100.617,24.4999,40.2,0.00695
25,100.633,25,40.2008,0.007203333
25.4999,100.648,25.4999,40.2019,0.007435
26,100.664,26,40.2027,0.007688333
26.4999,100.68,26.4999,40.2035,0.007941667
27,100.696,27,40.2043,0.008195
27.4999,100.712,27.4999,40.2051,0.008448333
27.9999,100.727,27.9999,40.2058,0.008686667
28.5,100.743,28.5,40.2065,0.008941667
28.9999,100.759,28.9999,40.2072,0.009196667
29.5,100.775,29.5,40.2079,0.009451667
29.9999,100.791,29.9999,40.2085,0.009708333
30.4999,100.808,30.4999,40.2091,0.009981667
30.9999,100.824,30.9999,40.2097,0.010238333
31.5,100.84,31.5,40.2103,0.010495
31.9999,100.856,31.9999,40.2108,0.010753333
32.4999,100.872,32.4999,40.2114,0.01101
32.9999,100.888,32.9999,40.2119,0.011268333
33.5,100.904,33.5,40.2123,0.011528333
34,100.92,34,40.2129,0.011785
34.4999,100.937,34.4999,40.2134,0.01206
35,100.953,35,40.2138,0.01232
35.4999,100.969,35.4999,40.2143,0.012578333
36,100.985,36,40.2146,0.01284
36.4999,101.001,36.4999,40.2151,0.013098333
36.9999,101.018,36.9999,40.2156,0.013373333
37.5,101.034,37.5,40.216,0.013633333
38,101.05,38,40.2164,0.013893333
38.4999,101.066,38.4999,40.2168,0.014153333
38.9999,101.083,38.9999,40.2171,0.014431667
39.4999,101.099,39.4999,40.2176,0.01469
39.9999,101.115,39.9999,40.218,0.01495
40.5,101.132,40.5,40.2184,0.015226667
41,101.148,41,40.2187,0.015488333
41.4999,101.164,41.4999,40.2191,0.015748333
42,101.18,42,40.2195,0.016008333
42.5,101.197,42.5,40.2198,0.016286667
42.9999,101.213,42.9999,40.2201,0.016548333
43.4999,101.229,43.4999,40.2205,0.016808333
43.9999,101.246,43.9999,40.2208,0.017086667
44.4999,101.262,44.4999,40.2212,0.017346667
44.9999,101.278,44.9999,40.2215,0.017608333
45.4999,101.295,45.4999,40.2219,0.017885
45.9999,101.311,45.9999,40.222,0.01815
46.5,101.328,46.5,40.2223,0.018428333
46.9999,101.344,46.9999,40.2226,0.01869
47.4999,101.36,47.4999,40.223,0.01895
48,101.377,48,40.2234,0.019226667
48.4999,101.393,48.4999,40.2236,0.01949
49,101.41,49,40.2238,0.01977
49.5,101.426,49.5,40.2241,0.020031667
50,101.442,50,40.2244,0.020293333
50.4999,101.459,50.4999,40.2248,0.02057
50.9999,101.475,50.9999,40.2249,0.020835
51.5,101.491,51.5,40.2251,0.021098333
51.9999,101.508,51.9999,40.2254,0.021376667
52.4999,101.524,52.4999,40.2257,0.021638333
53,101.541,53,40.226,0.021916667
53.4999,101.557,53.4999,40.2262,0.02218
53.9999,101.573,53.9999,40.2266,0.02244
54.5,101.59,54.5,40.2267,0.022721667
55,101.606,55,40.227,0.022983333
55.4999,101.623,55.4999,40.2272,0.023263333
55.9999,101.639,55.9999,40.2274,0.023526667
56.5,101.656,56.5,40.2278,0.023803333
56.9999,101.672,56.9999,40.2279,0.024068333
57.4999,101.688,57.4999,40.2282,0.02433
58,101.705,58,40.2283,0.024611667
58.4999,101.721,58.4999,40.2285,0.024875
59,101.738,59,40.2287,0.025155
59.4999,101.754,59.4999,40.2289,0.025418333
59.9999,101.771,59.9999,40.2291,0.025698333
60.5,101.787,60.5,40.2293,0.025961667
60.9999,101.804,60.9999,40.2295,0.026241667
61.4999,101.82,61.4999,40.2298,0.026503333
61.9999,101.837,61.9999,40.2299,0.026785
62.5,101.853,62.5,40.2302,0.027046667
63,101.87,63,40.2305,0.027325
63.5,101.886,63.5,40.2305,0.027591667
63.9999,101.903,63.9999,40.2308,0.02787
64.4999,101.919,64.4999,40.231,0.028133333
64.9999,101.936,64.9999,40.2311,0.028415
65.5,101.952,65.5,40.2313,0.028678333
66,101.969,66,40.2315,0.028958333
66.4999,101.985,66.4999,40.2316,0.029223333
66.9999,102.002,66.9999,40.2318,0.029503333
67.4999,102.018,67.4999,40.2319,0.029768333
68,102.034,68,40.2322,0.03003
68.5,102.051,68.5,40.2323,0.030311667
68.9999,102.068,68.9999,40.2324,0.030593333
69.4999,102.084,69.4999,40.2326,0.030856667
69.9999,102.1,69.9999,40.2328,0.03112
70.5,102.117,70.5,40.233,0.0314
71,102.133,71,40.2332,0.031663333
71.5,102.15,71.5,40.2334,0.031943333
71.9999,102.166,71.9999,40.2335,0.032208333
72.5,102.183,72.5,40.2336,0.03249
72.9999,102.199,72.9999,40.2338,0.032753333
73.4999,102.216,73.4999,40.2339,0.033035
73.9999,102.233,73.9999,40.2341,0.033315
74.5,102.249,74.5,40.2343,0.033578333
74.9999,102.266,74.9999,40.2343,0.033861667
75.5,102.282,75.5,40.2345,0.034125
76,102.299,76,40.2347,0.034405
76.5,102.315,76.5,40.2347,0.034671667
76.9999,102.332,76.9999,40.2349,0.034951667
77.4999,102.348,77.4999,40.2351,0.035215
77.9999,102.365,77.9999,40.2353,0.035495
78.5,102.381,78.5,40.2354,0.03576
78.9999,102.398,78.9999,40.2355,0.036041667
79.4999,102.414,79.4999,40.2356,0.036306667
79.9999,102.431,79.9999,40.2357,0.036588333
80.5,102.447,80.5,40.2359,0.036851667
80.9999,102.464,80.9999,40.236,0.037133333
81.4999,102.48,81.4999,40.2362,0.037396667
81.9999,102.497,81.9999,40.2362,0.03768
82.4999,102.514,82.4999,40.2364,0.03796
82.9999,102.53,82.9999,40.2366,0.038223333
