time,A1464,
0,40,
0.499982,40.0047,
0.999946,40.0094,
1.49989,40.0142,
1.99996,40.0189,
2.49987,40.0237,
2.99991,40.0285,
3.49993,40.0334,
3.99993,40.0383,
4.49991,40.043,
4.99988,40.0477,
5.49997,40.0524,
5.9999,40.0572,
6.49995,40.0619,
6.99999,40.0666,
7.49987,40.0713,
7.99987,40.0761,
8.49999,40.0808,
8.99996,40.0856,
9.49991,40.0904,
9.99998,40.0952,
10.4999,40.1,
10.9999,40.1049,
11.5,40.1097,
12,40.1145,
12.4999,40.1192,
12.9999,40.1239,
13.5,40.1286,
13.9999,40.1333,
14.5,40.138,
14.9999,40.1428,
15.4999,40.1475,
15.9999,40.1523,
16.5,40.157,
16.9999,40.1617,
17.4999,40.1663,
18,40.1707,
18.4999,40.1748,
18.9999,40.1787,
19.4999,40.1822,
19.9999,40.1852,
20.4999,40.1879,
20.9999,40.1901,
21.4999,40.1921,
21.9999,40.1938,
22.5,40.1953,
23,40.1966,
23.4999,40.1979,
24,40.199,
24.4999,40.2,
25,40.2008,
25.4999,40.2019,
26,40.2027,
26.4999,40.2035,
27,40.2043,
27.4999,40.2051,
27.9999,40.2058,
28.5,40.2065,
28.9999,40.2072,
29.5,40.2079,
29.9999,40.2085,
30.4999,40.2091,
30.9999,40.2097,
31.5,40.2103,
31.9999,40.2108,
32.4999,40.2114,
32.9999,40.2119,
33.5,40.2123,
34,40.2129,
34.4999,40.2134,
35,40.2138,
35.4999,40.2143,
36,40.2146,
36.4999,40.2151,
36.9999,40.2156,
37.5,40.216,
38,40.2164,
38.4999,40.2168,
38.9999,40.2171,
39.4999,40.2176,
39.9999,40.218,
40.5,40.2184,
41,40.2187,
41.4999,40.2191,
42,40.2195,
42.5,40.2198,
42.9999,40.2201,
43.4999,40.2205,
43.9999,40.2208,
44.4999,40.2212,
44.9999,40.2215,
45.4999,40.2219,
45.9999,40.222,
46.5,40.2223,
46.9999,40.2226,
47.4999,40.223,
48,40.2234,
48.4999,40.2236,
49,40.2238,
49.5,40.2241,
50,40.2244,
50.4999,40.2248,
50.9999,40.2249,
51.5,40.2251,
51.9999,40.2254,
52.4999,40.2257,
53,40.226,
53.4999,40.2262,
53.9999,40.2266,
54.5,40.2267,
55,40.227,
55.4999,40.2272,
55.9999,40.2274,
56.5,40.2278,
56.9999,40.2279,
57.4999,40.2282,
58,40.2283,
58.4999,40.2285,
59,40.2287,
59.4999,40.2289,
59.9999,40.2291,
60.5,40.2293,
60.9999,40.2295,
61.4999,40.2298,
61.9999,40.2299,
62.5,40.2302,
63,40.2305,
63.5,40.2305,
63.9999,40.2308,
64.4999,40.231,
64.9999,40.2311,
65.5,40.2313,
66,40.2315,
66.4999,40.2316,
66.9999,40.2318,
67.4999,40.2319,
68,40.2322,
68.5,40.2323,
68.9999,40.2324,
69.4999,40.2326,
69.9999,40.2328,
70.5,40.233,
71,40.2332,
71.5,40.2334,
71.9999,40.2335,
72.5,40.2336,
72.9999,40.2338,
73.4999,40.2339,
73.9999,40.2341,
74.5,40.2343,
74.9999,40.2343,
75.5,40.2345,
76,40.2347,
76.5,40.2347,
76.9999,40.2349,
77.4999,40.2351,
77.9999,40.2353,
78.5,40.2354,
78.9999,40.2355,
79.4999,40.2356,
79.9999,40.2357,
80.5,40.2359,
80.9999,40.236,
81.4999,40.2362,
81.9999,40.2362,
82.4999,40.2364,
82.9999,40.2366,
83.5,40.2366,
83.9999,40.2368,
84.4999,40.237,
84.9999,40.237,
85.4999,40.2371,
85.9999,40.2372,
86.5,40.2373,
87,40.2374,
87.5,40.2376,
87.9999,40.2376,
88.4999,40.2378,
88.9999,40.2379,
89.4999,40.238,
89.9999,40.238,
90.4999,40.2382,
90.9999,40.2383,
91.4999,40.2384,
91.9999,40.2385,
92.5,40.2386,
93,40.2388,
93.4999,40.2388,
93.9999,40.2389,
94.4999,40.239,
94.9999,40.2391,
95.4999,40.2392,
95.9999,40.2393,
96.4999,40.2394,
96.9999,40.2395,
97.5,40.2395,
97.9999,40.2395,
98.5,40.2397,
99,40.2398,
99.4999,40.2399,
99.9999,40.2399,
100.5,40.2401,
101,40.2403,
101.5,40.2403,
102,40.2404,
102.5,40.2404,
103,40.2404,
103.5,40.2405,
104,40.2406,
104.5,40.2407,
105,40.2408,
105.5,40.2407,
106,40.2409,
106.5,40.2409,
107,40.241,
107.5,40.2411,
108,40.2412,
108.5,40.2413,
109,40.2413,
109.5,40.2413,
110,40.2414,
110.5,40.2415,
111,40.2416,
111.5,40.2416,
112,40.2417,
112.5,40.2418,
113,40.2418,
113.5,40.2419,
114,40.242,
114.5,40.242,
115,40.2421,
115.5,40.2421,
116,40.2422,
116.5,40.2421,
117,40.2422,
117.5,40.2423,
118,40.2424,
118.5,40.2424,
119,40.2425,
119.5,40.2426,
120,40.2427,
120.5,40.2427,
121,40.2428,
121.5,40.2428,
122,40.2428,
122.5,40.2428,
123,40.2429,
123.5,40.2429,
124,40.243,
124.5,40.243,
125,40.2431,
125.5,40.2432,
126,40.2433,
126.5,40.2432,
127,40.2432,
127.5,40.2433,
128,40.2434,
128.5,40.2433,
129,40.2434,
129.5,40.2435,
130,40.2435,
130.5,40.2435,
131,40.2435,
131.5,40.2436,
132,40.2436,
132.5,40.2436,
133,40.2437,
133.5,40.2437,
134,40.2437,
134.5,40.2437,
135,40.2438,
135.5,40.2439,
136,40.2438,
136.5,40.2438,
137,40.2439,
137.5,40.2439,
138,40.244,
138.5,40.2439,
139,40.244,
139.5,40.2441,
140,40.2441,
140.5,40.244,
141,40.244,
141.5,40.244,
142,40.244,
142.5,40.2441,
143,40.244,
143.5,40.2441,
144,40.2442,
144.5,40.2442,
145,40.2441,
145.5,40.2443,
146,40.2442,
146.5,40.2441,
147,40.2443,
147.5,40.2442,
148,40.2441,
148.5,40.2442,
149,40.2443,
149.5,40.2442,
150,40.2441,
150.5,40.2442,
151,40.2443,
151.5,40.2442,
152,40.2441,
152.5,40.2442,
153,40.2443,
153.5,40.244,
154,40.2441,
154.5,40.2441,
155,40.2441,
155.5,40.2441,
156,40.244,
156.5,40.2441,
157,40.244,
157.5,40.244,
158,40.244,
158.5,40.2439,
159,40.2438,
159.5,40.2439,
160,40.2438,
160.5,40.2438,
161,40.2437,
161.5,40.2437,
162,40.2436,
162.5,40.2436,
163,40.2434,
163.5,40.2435,
164,40.2435,
164.5,40.2434,
165,40.2433,
165.5,40.2431,
166,40.2432,
166.5,40.2431,
167,40.2429,
167.5,40.2429,
168,40.2429,
168.5,40.2427,
169,40.2425,
169.5,40.2425,
170,40.2424,
170.5,40.2423,
171,40.2422,
171.5,40.2421,
172,40.2419,
172.5,40.2419,
173,40.2417,
173.5,40.2416,
174,40.2415,
174.5,40.2412,
175,40.241,
175.5,40.2411,
176,40.241,
176.5,40.2407,
177,40.2406,
177.5,40.2403,
178,40.2402,
178.5,40.24,
179,40.2397,
179.5,40.2395,
180,40.2393,
180.5,40.2391,
181,40.239,
181.5,40.2387,
182,40.2385,
182.5,40.2382,
