time,A3364,time,B3085,time,C2805,time,D1964,,,,,,,time,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,,SF,0,0,,0,0,0,31.9731  -2.8555e-3,,,25,0,,0,0,0
0.499982,0.00849163,0.499982,0.00849684,0.499982,0.00849235,0.499982,0.00849133,0.21228325,,1.14146069,0.007439003,0.185975086,,0.499982,0.2,5,32.5278  -2.8555e-3,,,24.99822149,0.008444222,,0.000121667,0.2,8
0.999946,0.0169858,0.999946,0.0169839,0.999946,0.0169779,0.999946,0.0169901,0.4247525,,1.141465139,0.014884467,0.372111671,,0.999946,0.651238926,16.28097314,33.0824  -1.2238e-3,,,24.99643172,0.01697332,,0.000243333,0.651238926,26.04955704
1.49989,0.0254966,1.49989,0.025481,1.49989,0.0254822,1.49989,0.025496,0.6374,,1.141580536,0.022333948,0.558348693,0.465115535,1.49989,0.838626697,20.96566743,33.0824  4.0793e-4,,,24.99464458,0.02550652,,0.000363333,0.838626697,33.54506788
1.99996,0.0339784,1.99996,0.0339646,1.99996,0.0339706,1.99996,0.0339732,0.84933,,1.141531628,0.029761068,0.744026691,0.651238926,1.99996,1.028456468,25.71141169,33.6371  2.0396e-3,,,24.9928324,0.03425132,,0.000485,1.028456468,41.13825872
2.49987,0.0424999,2.49987,0.0425121,2.49987,0.0425109,2.49987,0.0425002,1.062505,,1.141903064,0.037218746,0.930468648,0.838626697,2.49987,1.220528909,30.51322273,33.637  3.6713e-3,,,24.99102088,0.0429996,,0.000588333,1.220528909,48.82115636
2.99991,0.0512387,2.99991,0.0512391,2.99991,0.0512411,2.99991,0.0512373,1.2809325,,1.141994322,0.04486651,1.121662757,1.028456468,2.99991,1.412302045,35.30755113,33.637  5.303e-3,,,24.98923319,0.0515307,,0.000708333,1.412302045,56.4920818
3.49993,0.0601804,3.49993,0.0601681,3.49993,0.0601749,3.49993,0.0601775,1.5044375,,1.141742652,0.052706711,1.317667775,1.220528909,3.49993,1.60141391,40.03534776,34.1917  6.9347e-3,,,24.98756638,0.05988076,,0.000826667,1.60141391,64.0565564
3.99993,0.069056,3.99993,0.0690422,3.99993,0.0690441,3.99993,0.0690563,1.7264075,,1.141564977,0.060492658,1.512316456,1.412302045,3.99993,1.787645161,44.69112903,34.1917  8.5664e-3,,,24.98577799,0.06839918,,0.000945,1.787645161,71.50580644
4.49991,0.0775305,4.49991,0.0775202,4.49991,0.0775222,4.49991,0.0775285,1.9382125,,1.141762965,0.067902448,1.697561193,1.60141391,4.49991,1.972562261,49.31405654,34.1916  0.0102,,,24.98396921,0.07712506,,0.001066667,1.972562261,78.90249044
4.99988,0.0857869,4.99988,0.0857843,4.99988,0.0857871,4.99988,0.0857845,2.1446125,,1.141899171,0.075124409,1.878110218,1.787645161,4.99988,2.158260271,53.95650678,34.7463  0.0118,,,24.98216252,0.08584184,,0.001188333,2.158260271,86.33041084
5.49997,0.0941831,5.49997,0.0941782,5.49997,0.0941832,5.49997,0.09418,2.3545,,1.141524408,0.082503711,2.062592777,1.972562261,5.49997,2.344747662,58.61869156,35.301  0.0118,,,24.98036968,0.0944074,,0.00131,2.344747662,93.78990648
5.9999,0.102797,5.9999,0.102794,5.9999,0.102795,5.9999,0.102796,2.5699,,1.141171083,0.090079394,2.251984858,2.158260271,5.9999,2.530973664,63.27434161,35.8556  0.0118,,,24.97859338,0.1028426,,0.00143,2.530973664,101.2389466
