time,A3277,time,B3137,time,C2997,time,D2857,time,E2717,
0,0,0,0,0,0,0,0,0,0,
0.499982,0.00844354,0.499982,0.00844142,0.499982,0.00844354,0.499982,0.00844908,0.499982,0.00844353,
0.999946,0.0169739,0.999946,0.0169735,0.999946,0.0169739,0.999946,0.0169714,0.999946,0.0169739,
1.49989,0.0255067,1.49989,0.0255055,1.49989,0.0255067,1.49989,0.025507,1.49989,0.0255067,
1.99996,0.0342516,1.99996,0.0342519,1.99996,0.0342515,1.99996,0.0342501,1.99996,0.0342515,
2.49987,0.0430001,2.49987,0.0429997,2.49987,0.0429999,2.49987,0.0429983,2.49987,0.043,
2.99991,0.0515309,2.99991,0.0515303,2.99991,0.0515308,2.99991,0.0515306,2.99991,0.0515309,
3.49993,0.0598803,3.49993,0.0598778,3.49993,0.0598802,3.49993,0.0598852,3.49993,0.0598803,
3.99993,0.0683991,3.99993,0.0683992,3.99993,0.0683991,3.99993,0.0683994,3.99993,0.0683991,
4.49991,0.0771248,4.49991,0.0771246,4.49991,0.0771248,4.49991,0.0771261,4.49991,0.077125,
4.99988,0.0858414,4.99988,0.085841,4.99988,0.0858414,4.99988,0.085844,4.99988,0.0858414,
5.49997,0.0944076,5.49997,0.0944074,5.49997,0.0944075,5.49997,0.0944067,5.49997,0.0944078,
5.9999,0.102842,5.9999,0.102842,5.9999,0.102842,5.9999,0.102845,5.9999,0.102842,
6.49995,0.111293,6.49995,0.111292,6.49995,0.111293,6.49995,0.111294,6.49995,0.111293,
6.99999,0.119768,6.99999,0.119768,6.99999,0.119767,6.99999,0.119769,6.99999,0.119768,
7.49987,0.128272,7.49987,0.12827,7.49987,0.128271,7.49987,0.128276,7.49987,0.128272,
7.99987,0.136852,7.99987,0.13685,7.99987,0.136852,7.99987,0.136854,7.99987,0.136852,
8.49999,0.145481,8.49999,0.145481,8.49999,0.145481,8.49999,0.145481,8.49999,0.145482,
8.99996,0.154091,8.99996,0.15409,8.99996,0.15409,8.99996,0.154092,8.99996,0.154091,
