time,A2022,time,B2052,time,C2047,,,
0,5,0,5,0,0,5,5,25
0.499982,4.99991,0.499982,4.99991,0.499982,8.79E-05,4.999822146,4.999822146,24.99822149
0.999946,4.99982,0.999946,4.99982,0.999946,0.000176839,4.999643161,4.999643157,24.99643172
1.49989,4.99973,1.49989,4.99973,1.49989,0.000265568,4.999464432,4.999464426,24.99464458
1.99996,4.99964,1.99996,4.99964,1.99996,0.000356819,4.999283181,4.999283196,24.9928324
2.49987,4.99955,2.49987,4.99955,2.49987,0.000448011,4.999101989,4.999102025,24.99102088
2.99991,4.99946,2.99991,4.99946,2.99991,0.0005368,4.9989232,4.998923207,24.98923319
3.49993,4.99938,3.49993,4.99938,3.49993,0.000623534,4.998756466,4.9987565,24.98756638
3.99993,4.99929,3.99993,4.99929,3.99993,0.000712431,4.998577569,4.998577624,24.98577799
4.49991,4.9992,4.49991,4.9992,4.49991,0.000803342,4.998396658,4.998396669,24.98396921
4.99988,4.99911,4.99988,4.99911,4.99988,0.000894092,4.998215908,4.99821596,24.98216252
5.49997,4.99902,5.49997,4.99902,5.49997,0.000983416,4.998036584,4.998036581,24.98036968
5.9999,4.99893,5.9999,4.99893,5.9999,0.00107114,4.99785886,4.9978589,24.97859338
6.49995,4.99884,6.49995,4.99884,6.49995,0.0011591,4.9976809,4.99768091,24.97681443
6.99999,4.99875,6.99999,4.99875,6.99999,0.00124738,4.99750262,4.99750266,24.97503264
7.49987,4.99866,7.49987,4.99866,7.49987,0.00133586,4.99732414,4.99732418,24.97324876
7.99987,4.99857,7.99987,4.99857,7.99987,0.00142521,4.99714479,4.99714476,24.9714559
8.49999,4.99848,8.49999,4.99848,8.49999,0.0015152,4.9969648,4.99696481,24.96965726
8.99996,4.99839,8.99996,4.99839,8.99996,0.00160492,4.99678508,4.99678513,24.96786139
9.49991,4.99831,9.49991,4.99831,9.49991,0.00169428,4.99661572,4.99661574,24.96616875
9.99998,4.99822,9.99998,4.99822,9.99998,0.00178372,4.99643628,4.99643629,24.96437555
10.4999,4.99813,10.4999,4.99813,10.4999,0.00187298,4.99625702,4.99625702,24.96258421
10.9999,4.99804,10.9999,4.99804,10.9999,0.00196177,4.99607823,4.9960782,24.96079753
11.5,4.99795,11.5,4.99795,11.5,0.00205012,4.99589988,4.99589983,24.95901536
12,4.99786,12,4.99786,12,0.0021387,4.9957213,4.99572125,24.95723106
12.4999,4.99777,12.4999,4.99777,12.4999,0.00222785,4.99554215,4.99554206,24.95544092
12.9999,4.99768,12.9999,4.99768,12.9999,0.00231774,4.99536226,4.99536214,24.95364351
13.5,4.99759,13.5,4.99759,13.5,0.00240767,4.99518233,4.99518219,24.95184581
13.9999,4.9975,13.9999,4.9975,13.9999,0.00249671,4.99500329,4.99500315,24.95005717
14.5,4.99742,14.5,4.99742,14.5,0.00258471,4.99483529,4.99483511,24.94837868
14.9999,4.99733,14.9999,4.99733,14.9999,0.0026725,4.9946575,4.99465743,24.94660319
15.4999,4.99724,15.4999,4.99724,15.4999,0.00276017,4.99447983,4.9944797,24.94482812
15.9999,4.99715,15.9999,4.99715,15.9999,0.00284658,4.99430342,4.99430065,24.94305282
16.5,4.99706,16.5,4.99706,16.5,0.00293179,4.99412821,4.99413048,24.94132791
16.9999,4.99699,16.9999,4.997,16.9999,0.0030388,4.9939612,4.99394809,24.939583
17.4999,4.9969,17.4999,4.99692,17.4999,0.00313151,4.99378849,4.99377767,24.93786945
18,4.99679,18,4.9968,18,0.00317748,4.99362252,4.99361302,24.93621843
18.4999,4.99672,18.4999,4.99673,18.4999,0.00326666,4.99346334,4.99345572,24.93463808
18.9999,4.99663,18.9999,4.99665,18.9999,0.00332814,4.99332186,4.99331369,24.9332224
19.4999,4.99648,19.4999,4.99647,19.4999,0.00332842,4.99314158,4.9931952,24.93173057
19.9999,4.9966,19.9999,4.9966,19.9999,0.00357373,4.99302627,4.99305065,24.93043306
20.4999,4.99623,20.4999,4.99619,20.4999,0.00335939,4.99283061,4.99291389,24.9287733
20.9999,4.99648,20.9999,4.99635,20.9999,0.00375765,4.99259235,4.99279832,24.9270067
21.4999,4.99649,21.4999,4.99626,21.4999,0.00393229,4.99232771,4.99263566,24.92487335
21.9999,4.99628,21.9999,4.99591,21.9999,0.0039096,4.9920004,4.99249193,24.92252171
22.5,4.99634,22.5,4.99583,22.5,0.00416339,4.99166661,4.99227357,24.91976529
23,4.99655,23,4.9959,23,0.00462161,4.99127839,4.99201719,24.91654752
23.4999,4.99604,23.4999,4.99525,23.4999,0.00441489,4.99083511,4.99179025,24.91320204
24,4.99636,24,4.99532,24,0.0050026,4.9903174,4.99149892,24.90916391
24.4999,4.99618,24.4999,4.99502,24.4999,0.00514201,4.98987799,4.99116644,24.90531156
25,4.99622,25,4.99491,25,0.00551808,4.98939192,4.99086197,24.90136639
25.4999,4.99589,25.4999,4.99448,25.4999,0.00554911,4.98893089,4.99052441,24.89738139
26,4.99557,26,4.99395,26,0.00559503,4.98835497,4.99018832,24.89283071
26.4999,4.99575,26.4999,4.99401,26.4999,0.00615687,4.98785313,4.98976952,24.88823752
27,4.99577,27,4.99389,27,0.00659057,4.98729943,4.9893571,24.88341782
27.4999,4.99547,27.4999,4.99341,27.4999,0.00663376,4.98677624,4.9889228,24.87864168
27.9999,4.99551,27.9999,4.99333,27.9999,0.00715652,4.98617348,4.988528,24.87366602
28.5,4.99523,28.5,4.9929,28.5,0.00731831,4.98558169,4.9881,24.86858003
28.9999,4.99504,28.9999,4.99256,28.9999,0.00755591,4.98500409,4.9876369,24.86339035
29.5,4.99466,29.5,4.99204,29.5,0.00765345,4.98438655,4.9871519,24.85789285
29.9999,4.99439,29.9999,4.99167,29.9999,0.00786031,4.98380969,4.9866375,24.85245229
30.4999,4.99448,30.4999,4.99163,30.4999,0.00849366,4.98313634,4.9861662,24.84674599
30.9999,4.99429,30.9999,4.99128,30.9999,0.00875984,4.98252016,4.9856734,24.84121823
31.5,4.99429,31.5,4.99116,31.5,0.00933638,4.98182362,4.9851383,24.83507973
31.9999,4.99375,31.9999,4.99051,31.9999,0.00936862,4.98114138,4.98458,24.8288977
32.4999,4.99353,32.4999,4.99022,32.4999,0.00968677,4.98053323,4.9840054,24.82300451
32.9999,4.99324,32.9999,4.98978,32.9999,0.00993131,4.97984869,4.9834547,24.81685036
